question,answer
hi,Hi! How can I assist you today?
hii,Hii! How can I assist you today?
hiii,Hiii! How can I assist you today?
hello,Hello! How can I assist you today?
hey,Hi! How can I assist you today?
Hi,Hi! How can I assist you today?
Hello,Hi! How can I assist you today?
How are you?,"I'm just a bot, but I'm doing great! Thanks for asking."
What's up?,"Not much, just here to chat with you."
Good morning,Good morning! How can I assist you today?
Good evening,Good evening How can I assist you today?
Good afternoon,Good afternoon! How can I assist you today?
Good night,Sweet dreams! See you next time.
Thank you,You're welcome!
Nice to meet you,Nice to meet you too!
How's the weather?,"I’m not sure, but it’s always sunny here in chatbot land!"
Do you like movies?,"I don’t watch movies, but I love hearing about them."
Tell me a joke,Why did the robot cross the road? To recharge its batteries!
Are you human?,"Nope, just a helpful Chatbot"
Where are you from?,I live in the digital world!
What’s your favorite food?,I feed on data and information and it's yummy
what is your name?,"I am just a chatbot, glad you asked!"